Date,Price,Open,High,Low,Vol.,Change %
11-Sep-21,178.35,179.15,192.93,175.551,-,-0.45%
10-Sep-21,179.15,192.1,197.1,170,-,-6.74%
9-Sep-21,192.1,190.69,215.511,182,-,0.74%
8-Sep-21,190.69,173.03,198.04,146.53,-,10.21%
7-Sep-21,173.03,164.59,195,130,-,5.40%
6-Sep-21,164.17,142.13,165.859,137.39,-,15.51%
5-Sep-21,142.13,139.09,145.14,135.14,-,2.19%
4-Sep-21,139.09,146.14,150.67,136.12,-,-4.82%
3-Sep-21,146.14,128.071,148.89,128.071,-,14.11%
2-Sep-21,128.071,111.06,131.8,109.67,-,15.32%
1-Sep-21,111.06,108.32,119.5,106.18,-,2.53%
31-Aug-21,108.32,110.241,130.03,103.58,-,-1.74%
30-Aug-21,110.241,94.2,116.25,93.8,-,17.03%
29-Aug-21,94.2,96.72,97.84,90.623,-,-2.61%
28-Aug-21,96.72,87.97,97.71,85.731,-,9.95%
27-Aug-21,87.97,75.169,88.76,73.179,-,17.03%
26-Aug-21,75.169,72.056,78.051,66.372,-,4.32%
25-Aug-21,72.056,70.671,72.535,66.35,-,1.96%
24-Aug-21,70.671,75.553,79.343,68.486,-,-6.46%
23-Aug-21,75.553,72.846,77.846,71.719,-,3.72%
22-Aug-21,72.846,73.907,77.507,71.54,-,-1.44%
21-Aug-21,73.907,78.714,81.953,72.715,-,-6.11%
20-Aug-21,78.714,72.7,79.9,70.987,-,8.27%
19-Aug-21,72.7,72.578,75.307,68.771,-,0.17%
18-Aug-21,72.578,64,80.483,60.019,-,13.40%
17-Aug-21,64,62.137,100,59.998,-,3.00%
16-Aug-21,62.137,53.714,68.743,52.451,-,15.68%
15-Aug-21,53.714,44.043,54.59,43.462,-,21.96%
14-Aug-21,44.043,44.821,44.821,42.828,-,-1.74%
13-Aug-21,44.821,41.1,44.821,40.785,-,9.05%
12-Aug-21,41.1,41.792,43.323,39.433,-,-1.66%
11-Aug-21,41.792,40.596,43.631,40.596,-,2.95%
10-Aug-21,40.596,38.722,41.686,38.278,-,4.84%
9-Aug-21,38.722,37.668,39.925,36.304,-,2.80%
8-Aug-21,37.668,39.426,39.494,36.972,-,-4.46%
7-Aug-21,39.426,39.497,40.405,37.633,-,-0.18%
6-Aug-21,39.497,37.408,40.362,35.75,-,5.58%
